City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
259,Waingapu,ID,2021-10-28 20:44:37,-9.6567,120.2641,79.93,79,54,3.74
260,Kamaishi,JP,2021-10-28 20:44:38,39.2667,141.8833,47.37,74,1,4.56
261,Pangnirtung,CA,2021-10-28 20:44:38,66.1451,-65.7125,32.0,100,90,12.66
262,Fukue,JP,2021-10-28 20:44:39,32.6881,128.8419,66.58,62,63,24.92
263,San Quintin,MX,2021-10-28 20:44:39,30.4833,-115.95,75.97,37,0,7.07
264,Rio Grande,BR,2021-10-28 20:44:39,-32.035,-52.0986,80.71,78,0,14.34
265,Lere,NG,2021-10-28 20:44:40,10.387,8.5726,73.2,35,17,3.18
266,Soyo,AO,2021-10-28 20:44:40,-6.1349,12.3689,76.96,79,4,9.17
267,Corrales,US,2021-10-28 20:44:41,35.2378,-106.6067,70.34,26,1,8.99
268,Santa Fe,AR,2021-10-28 20:42:30,-31.6333,-60.7,95.76,16,7,3.0
269,Myitkyina,MM,2021-10-28 20:44:41,25.3833,97.4,68.04,92,50,2.73
270,Zykovo,RU,2021-10-28 20:44:42,55.9519,93.1461,16.54,59,45,4.5
271,Majene,ID,2021-10-28 20:44:42,-3.5403,118.9707,78.08,86,100,3.49
272,Mount Isa,AU,2021-10-28 20:44:43,-20.7333,139.5,71.37,100,40,5.75
273,Pacifica,US,2021-10-28 20:44:43,37.6138,-122.4869,78.73,62,1,1.99
274,Scottsbluff,US,2021-10-28 20:44:43,41.8666,-103.6672,55.63,30,1,15.01
275,Yibin,CN,2021-10-28 20:44:44,28.7667,104.6238,58.48,94,100,4.05
276,Eenhana,NA,2021-10-28 20:44:44,-17.4667,16.3333,78.55,55,37,6.55
277,Kargil,IN,2021-10-28 20:44:45,34.5667,76.1,30.07,55,0,1.9
278,Saskylakh,RU,2021-10-28 20:44:45,71.9167,114.0833,3.87,96,100,10.38
279,La Ronge,CA,2021-10-28 20:44:46,55.1001,-105.2842,48.45,46,1,8.05
280,Kangaba,ML,2021-10-28 20:44:46,11.9333,-8.4167,72.81,87,93,5.26
281,Ormara,PK,2021-10-28 20:44:46,25.2088,64.6357,78.76,62,0,7.78
282,Namibe,AO,2021-10-28 20:42:54,-15.1961,12.1522,66.9,70,19,7.54
283,Naze,JP,2021-10-28 20:44:47,28.3667,129.4833,66.76,63,14,7.99
284,Mount Gambier,AU,2021-10-28 20:43:24,-37.8333,140.7667,48.11,87,90,16.11
285,Poum,NC,2021-10-28 20:44:48,-20.2333,164.0167,75.97,78,3,10.51
286,Touros,BR,2021-10-28 20:44:48,-5.1989,-35.4608,81.5,70,72,17.4
287,Geraldton,AU,2021-10-28 20:44:49,-28.7667,114.6,45.01,87,3,5.75
288,Faanui,PF,2021-10-28 20:44:49,-16.4833,-151.75,78.73,78,43,7.85
289,Ustrzyki Dolne,PL,2021-10-28 20:44:50,49.4304,22.5938,46.13,100,47,4.74
290,Hualmay,PE,2021-10-28 20:44:50,-11.0964,-77.6139,67.77,74,68,10.98
291,Korla,CN,2021-10-28 20:44:50,41.7597,86.1469,47.61,43,62,1.99
292,Shingu,JP,2021-10-28 20:44:51,33.7333,135.9833,50.58,78,0,7.74
